2021-06-16T09:07:39.504Z [AUDIT] Token created by 'jffe@000': tokenId='46608aeb-4195-4c6e-98ab-1021ea61b913', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835059504, refreshable=false
2021-06-16T09:07:39.505Z [AUDIT] Token created by 'jffe@000': tokenId='264769e1-f2f1-4a4a-a484-f2d85f2cad7a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835059504, refreshable=false
2021-06-16T09:08:27.971Z [AUDIT] Token created by 'jffe@000': tokenId='ac4abbc5-5bcd-437f-81c4-8978f9c01137', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835107971, refreshable=false
2021-06-16T09:10:15.297Z [AUDIT] Token created by 'jfrt@01f8a14r72mv3q01pjn0kj16qe': tokenId='b467200d-70cc-4004-a0a9-b2e239344192', issuer='jfrt@01f8a14r72mv3q01pjn0kj16qe', subject='jfrt@01f8a14r72mv3q01pjn0kj16qe/users/admin', expiry=1626253815285, refreshable=false
2021-06-16T09:10:15.415Z [AUDIT] Token created by 'jffe@000': tokenId='d27df84e-5938-4a32-bc4b-fcb4cf7c4ada', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623836415412, refreshable=true
2021-06-16T09:10:15.586Z [AUDIT] Token created by 'jffe@000': tokenId='85c7f641-35d2-4919-8fe4-3c8ec2826b60', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835215586, refreshable=false
2021-06-16T09:10:15.586Z [AUDIT] Token created by 'jffe@000': tokenId='9d31ea72-9800-47ab-8d24-49a625318335', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835215586, refreshable=false
2021-06-16T09:10:15.600Z [AUDIT] Token created by 'jffe@000': tokenId='241a388b-b261-41a3-8ce1-2a30eed5bcd8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835215599, refreshable=false
2021-06-16T09:10:16.436Z [AUDIT] Token created by 'jffe@000': tokenId='cbdbc9e2-3a2a-4f74-8145-cab06791935f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835216436, refreshable=false
2021-06-16T09:16:52.716Z [AUDIT] Token created by 'jffe@000': tokenId='82afe0f2-08fb-4add-81b1-54da40e36e32', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623835612716, refreshable=false
2021-06-16T09:16:52.724Z [AUDIT] Token created by 'jffe@000': tokenId='a31f8e10-6460-4ae9-b0e9-6a55513e9cf3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623835612724, refreshable=false
2021-06-16T09:16:52.753Z [AUDIT] Token created by 'jffe@000': tokenId='3d482a38-c795-43d0-83d6-de70884fb7e1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623835612753, refreshable=false
2021-06-16T09:20:16.972Z [AUDIT] Token created by 'jffe@000': tokenId='9fdcd169-dfb6-4e9d-84a9-b205621e52cd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623835816972, refreshable=false
2021-06-16T09:26:53.313Z [AUDIT] Token created by 'jffe@000': tokenId='cdbaf3e2-5860-4868-b9cd-0323bab258c1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836213313, refreshable=false
2021-06-16T09:26:53.315Z [AUDIT] Token created by 'jffe@000': tokenId='901ac565-ca1c-4721-a7c2-829a297fae86', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836213309, refreshable=false
2021-06-16T09:26:53.317Z [AUDIT] Token created by 'jffe@000': tokenId='b706648e-b2c4-4535-bf56-c8a2dc3a8543', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836213317, refreshable=false
2021-06-16T09:27:00.477Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='d27df84e-5938-4a32-bc4b-fcb4cf7c4ada', tokenId='8c9dc8fd-5104-4bae-aae1-0e4214e227cb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623837420460, refreshable=true
2021-06-16T09:27:30.378Z [AUDIT] Token created by 'jffe@000': tokenId='c9d6047b-12f3-4038-ba15-9258200fb101', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623836250378, refreshable=false
2021-06-16T09:30:17.015Z [AUDIT] Token created by 'jffe@000': tokenId='09234f57-b98c-4640-b7f9-2161929f5f5f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1623836417014, refreshable=false
2021-06-16T09:36:53.349Z [AUDIT] Token created by 'jffe@000': tokenId='2debca4e-1cb7-4308-b791-36984cc64bca', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836813349, refreshable=false
2021-06-16T09:36:53.350Z [AUDIT] Token created by 'jffe@000': tokenId='f1441a73-fa74-4c2e-91a3-2228966c8cfe', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1623836813349, refreshable=false
